driverName,team_from,driverGroup_from,team_to,driverGroup_to,driverStatus,description,transferTime,tokenUsed
Wilson Leclerc,NIO333,A2,Reserve,A1,reserved driver,driver upgrade,2022/10/19,0
Go7D3n WEST 999,Na'as,A2,Reserve,A1,reserved driver,driver upgrade,2022/10/19,0
tinnycatty809yhb,j r y,A2,Reserve,A1,reserved driver,driver upgrade,2022/10/19,0
g eight,Reserve,A3,Reserve,A2,reserved driver,driver upgrade,2022/10/19,0
i4foru,fass,A2,Reserve,A3,reserved driver,driver downgrade,2022/10/19,0
Lugo,Team HII,A2,Reserve,A3,reserved driver,driver downgrade,2022/10/19,0
Charlotte Amor,Na'as,A2,Reserve,A2,reserved driver,driver reallocate,2022/10/19,0
M4,Team HII,A2,Reserve,A2,reserved driver,driver reallocate,2022/10/19,0
magpie,Reserve,A3,Reserve,A2,reserved driver,driver upgrade,2022/10/19,0
lingerr,Reserve,A1,Reserve,A2,reserved driver,driver downgrade,2022/10/19,0
